,TSLA,INTC,AMD,AAPL,MSFT,SPY,GOOG,FB,IBM
2014-04-24,41.572,22.2143144769,4.28,18.1978701901,34.7307589781,165.216762198,525.16,60.87,145.472075571
2014-04-25,39.97,21.807398062199997,4.05,18.331524872,34.774324907600004,163.86216594799998,516.18,57.71,145.020868944
2014-04-28,39.702,21.8655289786,3.96,19.041465208199998,35.6107907535,164.38113464100002,517.15,56.14,147.705165996
2014-04-29,41.38399999999999,21.990095228,4.03,18.9850545991,35.2971160613,165.14639356200001,527.7,58.15,149.211737276
2014-04-30,41.578,22.164487977100002,4.09,18.913259278399998,35.2012710164,165.638974017,526.66,59.78,150.25180679
2014-05-01,41.54600000000001,21.9651819781,4.2,18.957810839,34.8527435806,165.656566176,531.35,61.15,148.003421225
2014-05-02,42.182,21.931964311599998,4.12,18.9930674697,34.5826348179,165.419072028,527.93,60.46,146.405079105
2014-05-05,43.322,21.9195076866,4.09,19.2616588926,34.3560919846,165.73573089200002,527.81,61.22,146.26742284600002
2014-05-06,41.456,21.9446351315,4.01,19.0517216826,34.033704106500004,164.293173845,515.14,58.53,145.326771742
2014-05-07,40.27,22.0870239854,3.97,18.9850545991,34.351735391700004,165.260742596,509.96,57.39,145.60973183
2014-05-08,35.718,22.0618965406,3.93,18.9514005425,34.5390688884,165.084821005,511.0,56.76,145.309743476
2014-05-09,36.452,22.0283932808,3.87,18.8725156077,34.4519370295,165.331111232,518.73,57.24,146.209708538
2014-05-12,36.934,22.0870239854,3.97,19.107397717,34.826604023,166.94079379,529.92,59.83,148.125018799
2014-05-13,38.032,22.1540305048,4.03,19.1373723807,35.4626665933,167.090327143,533.09,59.83,147.832722454
2014-05-14,38.124,22.0535207256,3.98,19.140917770999998,35.3047427935,166.298679983,526.65,59.23,145.16359530399998
2014-05-15,37.718,21.7854946477,3.96,18.9781521241,34.7432359499,164.838530778,519.98,57.919,143.42520125299998
2014-05-16,38.312,21.6263541639,4.02,19.2582379601,34.945027471799996,165.410275948,520.63,58.0199,143.886721797
